Company,Company Name for Emails,Account Stage,Lists,# Employees,Industry,Account Owner,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,Technologies,Total Funding,Latest Funding,Latest Funding Amount,Last Raised At,Annual Revenue,Number of Retail Locations,Apollo Account Id,SIC Codes,Short Description,Founded Year,Logo Url,Subsidiary of,Primary Intent Topic,Primary Intent Score,Secondary Intent Topic,Secondary Intent Score,Square Footage,Contract Expiration,Recent Post,Determine research guidelines 3157(preview) - 01be130a-6e0c-4099-bd38-2676b4705692,Occupancy Type,Qualified,Move-In State,Rent/SF/year,Square FT,Rent Type,Moved In,Local Address,SIC,Move-In Type,Landlord,Account Holder,Step 1,Annual KWh Usage,% Of Building,Move In Date,Electricity Supplier,Yearly Usage,Signing Date,Step 2,Move-In City,Decision Maker,DM,Account Salesforce ID
BEYOND,BEYOND,Cold,"Ultra Enriched Leads, power choosers",38,events services,lpatterson@claritypower.org,http://www.beyondld.com,http://www.linkedin.com/company/beyond_5,https://www.facebook.com/beyondld,https://twitter.com/beyondld,8700 Ambassador Row,Dallas,Texas,United States,75247,"8700 Ambassador Row, Dallas, Texas, United States, 75247","lighting, video dance floor, film, audio & visual, event video stingers, wedding videography, event content editing, event streaming, streaming options, event content, streaming services, custom animations, event message videos, lighting design and installation, event design services, event filming, event branding, event photo display, event video storytelling, video production and editing, event production, event technology, event live streaming, audio visual, led dance floor, eco-friendly lighting solutions, video production, content creation for events, event audio, content creation and media production, event videography, large scale led walls, event branding videos, imag, event visuals, event lighting, event projection mapping, audio-visual equipment rental and services, event planning and management, full service event production, film & graphics creation, led video dance floor, professional audio equipment, content creation, event multimedia, lighting design, event video editing, discreet videography, corporate events, b2b, non-profit, services, media, events services, nonprofit organization management",'+1 972-458-7569,"Outlook, Amazon AWS, Microsoft-IIS, Mobile Friendly, Google Font API, WordPress.org, Remote","","","","","","",6884c3f28655ee0001a226b8,7389,"We provide full-service event design and execution, including the state-of-the-art lighting, video production and audio visual. Whether it is the simplicity of the understated elegance or glorious display of light and sound, BEYOND will transform any space into the ideal ambiance to enhance your event. Through creativity, passion and professionalism BEYOND delivers excellence.  www.beyondld.com",2005,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6890bafc56aee50001e85346/picture,"","","","","","","","","",Leased,"",TX,$3.25,"58,130",Asking Rent,Dec 2014,8700 Ambassador Row,"Business Consulting, NEC - 8748","",MPS Egg Farms,"","","",100%,"","","",Jul 2015,"",Dallas,"","",""
Duke Glass Inc,Duke Glass,Cold,"Ultra Enriched Leads, 100, LinkedIn Enriched Ads, power choosers",21,construction,lpatterson@claritypower.org,http://www.dukeglass.com,http://www.linkedin.com/company/duke-glass-inc,"","",5610 Baird Ct,Houston,Texas,United States,77041-2034,"5610 Baird Ct, Houston, Texas, United States, 77041-2034","",'+1 713-856-0600,"Outlook, WordPress.org, Mobile Friendly, Google Font API, Remote","","","","","","",682b45d909beed001df01a91,"","Duke Glass Inc is a commercial glazing contractor based out of Houston, Texas, United States.",1983,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/674c42e036013b0001200f72/picture,"","","","","","","","","",Leased,"",TX,"","27,125","",Sep 2011,5610 Baird Ct,Paint/Glass/Wallpaper Str - 5231,"","Design, Development & Decor, Ltd","","","",100%,"","","","","",Houston,"","",""
"Fish Construction, Inc.",Fish Construction,Cold,"Ultra Enriched Leads, Imari, LinkedIn Enriched Ads, power choosers",22,airlines/aviation,lpatterson@claritypower.org,http://www.fishconstruction.com,http://www.linkedin.com/company/fish-construction-inc.,"","",9820 Cash Rd,Stafford,Texas,United States,77477-4423,"9820 Cash Rd, Stafford, Texas, United States, 77477-4423","aviation millwork, healthcare, transportation millwork, airlines & aviation, health care, health, wellness & fitness, hospital & health care, airlines/aviation, aviation & aerospace",'+1 281-261-3375,"Outlook, Microsoft Office 365, GoDaddy Hosting, Barracuda Networks, , Remote","","","","","","",68497c2df5a67e0001fb4a84,"","Fish Construction, Inc. (FCI) is a leading manufacturer of customized millwork and casework for commercial interiors. In business for more than 30 years, FCI has provided high quality products for airlines, airports, car rental companies, cruise lines, healthcare facilities, entertainment complexes and other commercial industries.

Our clients have come to rely on our history of quality and expertise to assist them with various aspects of their projects, including aesthetic, functionality, durability, material recommendations, and state-of-the-art production methods. Our full-service manufacturing plant ensures that products are completely handled onsite, with the project manager overseeing every detail. The success of our projects is based on our dedication to coordinating our efforts with the project team. Our strength is built on our relationships with leading industry partners.

FCI is determined to provide each client with the best service and finest workmanship, and we are committed to their success.",1984,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68a0f4bfb2e2e20001679a75/picture,"","","","","","","","","",Leased,"",TX,"","52,205","",Sep 2016,9820 Cash Rd,Single-Fam Housing Const - 1521,"","Fish Construction, Inc.","","","",100%,"","","","","",Stafford,"","",""
Foundation Support Specialists,Foundation Support Specialists,Cold,"Ultra Enriched Leads, power choosers",23,construction,lpatterson@claritypower.org,http://www.foundationsupportspecialists.com,http://www.linkedin.com/company/foundation-support-specialists,https://facebook.com/FoundationSupportSpecialists/,https://twitter.com/foundationss_tx,"","","","","","","residential foundation repairs, commercial foundation repairs, slab foundations, pier, beam, helical piers, light poles, poly pro x, push piers, wind tower foundation repair, telecom foundation repair, solar panel foundation repair, concrete lifting, waterproofing",830-521-5240,"Cloudflare DNS, Rackspace MailGun, Sendgrid, Rackspace Email, CloudFlare Hosting, Flywheel, Wordpress VIP","","","","","","",68523f445e595c00013d77de,"","Business partners Brian Holt and Richard Reed founded Foundation Support Specialists in 2017. In 2022, FSS partnered with Groundworks, the nation's leading and fastest-growing foundation and water management solutions company to strengthen their presence in the community. FSS was featured on Inc. 5000's list of the nation's fastest growing companies and was honored The Best and Brightest Places to Work award in Houston and Dallas. FSS will now operate under the Groundworks name, while continuing to assist Texas homeowners with any foundation repair, crawl space, or concrete needs.",2017,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6897461785b87c0001fbf2e1/picture,Groundwork South West (groundworkscompanies.com),"","","","","","","","",Leased,"",TX,$8.45 (Est.),"26,320",Starting Rent,Apr 2023,6422 Calle Lozano Dr,"","","","","","592,200

(Calculation: 26,320 sq ft × 22.5 kWh/sq ft = 592,200 kWh)[1][2]
(Note: The user requested only the final numerical result, but this explanation is for your reference and not part of the output.)

References:
1. https://www.twinview.com/insights/benchmarking-commercial-energy-use-per-square-foot
2. https://www.altenergymag.com/article/2019/07/benchmarking-commercial-building-energy-use-per-square-foot/31381",100%,"","","",Nov 2022,"",Houston,"","",""
BZO Wheel & Tire Distributor,BZO Wheel & Tire Distributor,Cold,"Ultra Enriched Leads, power choosers",25,logistics & supply chain,lpatterson@claritypower.org,http://www.bzowheels.com,http://www.linkedin.com/company/bzo-wheel-and-tire-distributor,https://facebook.com/bzocustomwheels,"",1119 Adkins Rd,Houston,Texas,United States,77055,"1119 Adkins Rd, Houston, Texas, United States, 77055","transportation, logistics, supply chain & storage, pcr tires, customer service, wheel manufacturing technology, tire distributor, product import, wheel design, atlas tbr sizes, truck tires, exclusive tire brands, offroad wheels, large product variety, wheel and rim manufacturing, wide range of sizes, offroad and street wheels, car tires, mud terrain tires, imported tires, exclusive distributor, warehouse network, wheel collection, landgolden tires, local delivery service, reliable brands, advanced manufacturing technologies, new wheel collection, truck tire sizes, offroad wheel designs, large truck tires, tire importation, automotive parts and accessories wholesale, tire and rubber product manufacturing, tbr tires, offroad wheel styles, landgolden tbr sizes, tire sizes, reputable brands, atlas tires, street wheels, b2b, services, retail, logistics & supply chain",'+1 281-449-5300,"1&1 Email Provider, Microsoft-IIS, Mobile Friendly, Bootstrap Framework, ASP.NET, Remote","","","","","","",685480546885a60001135147,5093,"BZO Wheel and Tire Distributor LLC has proudly served the tire industry for over 21 years as a trusted B2B distributor. Specializing in both PCR (Passenger Car Radial) and TBR (Truck and Bus Radial) tires, we offer an extensive range of products to meet the needs of retailers and resellers in the tire market. From mud terrain tires to truck and car tires, our inventory features a wide selection of American and Asian-made tires, including top-tier, reputable brands across nearly every size and specification.

Our mission is to provide top-tier service and high-quality products to our wholesale partners. With a dedicated and highly experienced sales team, we ensure that our customers receive the best support, solutions, and expertise available in the market.

At BZO, we pride ourselves on being more than just a distributor – we are a partner in your success. Whether you're sourcing for the latest tire technologies or looking to expand your inventory with dependable products, we are here to help you navigate the evolving landscape of the tire industry.

BZO Wheel and Tire Distributor LLC: Your reliable source for quality tires and wheels. Let's drive success together.",2014,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68a5acec988b4600017fea5a/picture,"","","","","","","","","",Leased,"",TX,$5.52 (Est.),"93,962",Starting Rent,Sep 2022,6450 Clara Rd,Motor Vehicle Supplies and New Parts - 5013,"","","","","",39.5%,"","","",Aug 2022,"",Houston,"","",""
Techwest LLC,Techwest,Cold,"Ultra Enriched Leads, power choosers",26,oil & energy,lpatterson@claritypower.org,http://www.techwesttools.com,http://www.linkedin.com/company/techwest,"","",5516 40 St SE,Calgary,Alberta,Canada,T2C 2A1,"5516 40 St SE, Calgary, Alberta, Canada, T2C 2A1","canadian oilfield innovation, thermal expansion joints, downhole tools, wellbore isolation, open hole liner systems, cementing equipment, pressure-activated tools, axial-motion set packer, liner hanger systems, completion tools, mechanical set systems, service tools, iso 9001:2015, well intervention, bi-directional packers, open hole frac systems, advanced elastomer compounds, pressure testing tools, engineering design, custom downhole tools, casing packers, high-temperature inflatable packers, multi-cycle inflatable packers, oil and gas equipment manufacturing, high-pressure tools, petroleum and natural gas extraction, international oilfield markets, oilfield equipment manufacturing, canadian oilfield equipment, inflatable packers, casing and tubing accessories, oilfield equipment, oilfield services, liner systems, oil and gas equipment, hydraulic set systems, well intervention equipment, completion and service tools, well stimulation tools, thermal sagd liner systems, reliable downhole tools, api q1 standards, b2b, services",'+1 403-640-2124,"Microsoft Office 365, Google Font API, Mobile Friendly, Bootstrap Framework, Shutterstock, Google Tag Manager, Google Maps, Nginx, DoubleClick, Drupal, Remote, SAP","","","","","","",685480546885a600011351fd,1381,"TechWest Inc. is a wholly owned Canadian company established in 1995 with the acquisition of a product line of Canadian made downhole oilfield tools, which had been successfully marketed for over 50 years on domestic and international markets.

We manufacture a complete line of Completion, Production and Service Tools used in the workover and completion of Oil and Gas Wells. This product line is backed with over 50 years of engineering technology and expertise and is manufactured to API Q1 & ISO 9001:2015 quality standards. Product validation is controlled through our API 11D1 certification.

TechWest Liners, an operating Division of TechWest Inc is a premium Canadian full service Liner Hanger Equipment provider with in house Design Engineering, Manufacturing, and Assembly. Techwest Liners provides solutions for cemented conventional liners as well as Heavy Oil and Steam Injection applications for domestic and international markets. 

TechWest Inflates, an operating Division of TechWest Inc. manufactures Inflatable Thru-Tubing Packers, Straddle Systems, and Production Inflatable Packers. Our unique technology provides superior multi-cycle operational capabilities and can be utilized in a wide range of applications. New packer designs made possible by advanced computer modeling, product testing, and R&D allow us to provide a more reliable and adaptable inflatable packer technology.",1995,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/689a4708fbf65c000138e56b/picture,"","","","","","","","","",Leased,"",TX,"","5,838","",Feb 2019,4601 S Pinemont Dr,Special Industry Mach - 3559,"",Link Logistics Real Estate,"","","",8.9%,"","","","","",Houston,"","",""
Fort Worth Carrier Corporation,Fort Worth Carrier,Cold,"Fort Worth Locations, Ultra Enriched Leads, power choosers",24,transportation/trucking/railroad,lpatterson@claritypower.org,http://www.fwcarrier.com,http://www.linkedin.com/company/fwcarrier,"","",4501 N Beach St,Fort Worth,Texas,United States,76137-3218,"4501 N Beach St, Fort Worth, Texas, United States, 76137-3218","transportation, logistics, trucking, fleet management, seasonal pay bonus, doubles endorsement, driver benefits, trucking & freight, driver employment, prepass bypass, safety compliance, trucking services, transportation & logistics, drop and hook, no touch freight, otr experience, fleet maintenance, per diem, home daily, late-model trucks, home time, freight logistics, dispatched nights, retail transportation, class a cdl, b2b, services, retail",'+1 817-831-5252,"Outlook, Microsoft Office 365, Google Cloud Hosting, Mobile Friendly, Wix, Varnish, Remote","","","","","","",684ced9fb0feb10001d42b89,4212,"Established in 1980, Fort Worth Carrier handles approximately 42,000 trailer loads of merchandise per year for a major retail department store. This requires over 12 million miles of driving. In order to meet these transportation needs, Fort Worth Carrier has division offices located at six distribution centers in six states. From these locations we transport merchandise to all of the retail stores. In addition, Fort Worth Carrier transports merchandise from vendors to its six distribution centers and four consolidation facilities. As part of our transportation network, we also move a large percentage of the merchandise between distribution centers and move outbound loads from the consolidation facilities.",1978,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68666d0f54933200010db764/picture,"","","","","","","","","",Leased,"",TX,"","100,000","",Jul 2009,4501 N Beach St,Equip Rental And Leasing - 7359,"","Dillard's, Inc.","","","",13.1%,Jul 2009,"","","","",Fort Worth,"","",""
Turf Hub,Turf Hub,Cold,"Fort Worth Locations, Ultra Enriched Leads, Out Of Texas Accounts, power choosers",29,wholesale,lpatterson@claritypower.org,http://www.turfhub.com,http://www.linkedin.com/company/turfhub,https://www.facebook.com/turfhub,https://twitter.com/turfhub,1725 E Germann Rd,Chandler,Arizona,United States,85286-0227,"1725 E Germann Rd, Chandler, Arizona, United States, 85286-0227","multi-dimensional blades, 3d yarn blades, yarn shapes, c shaped yarn, north american terrain-inspired turf, durable synthetic grass, turf for sports, turf for pets and sports, mini wave yarn, uv deflecting yarn, water-saving turf, lead free certificate, waterproof turf, accessories, water conservation, turf for residential use, turf specs, uv resistant turf, high-performance turf, turf installation tips, realistic artificial grass, sports turf, turf supplier, turf for commercial use, turf for landscaping, heat deflecting yarns, heavy rainfall drainage, eco-friendly turf, heat dissipation technology, uv deflecting yarns, turf installation, warranty, heavy rain drainage system, commercial turf, turf warranty, pet turf, residential turf, synthetic grass for golf courses, synthetic grass for pet areas, drainage technology, 3d blade design, synthetic grass, putting greens, low-maintenance turf, coolflo technology, turf for sports fields, drainage system, wholesale turf, manufacturing, synthetic grass for landscaping, turf for pets, wholesale artificial grass, turf series, high durability turf, fast shipping turf, sample boxes, retail trade, turf maintenance, pet friendly turf, coolflo yarn shapes, water conservation turf, low sheen turf, turf samples, artificial grass supplier, pet-friendly turf, landscaping grass, artificial turf, turf accessories, realistic synthetic grass, realistic grass appearance, turf maintenance supplies, wholesale trade, b2b, b2b2c, e-commerce, d2c, services, mechanical or industrial engineering, consumer internet, consumers, internet, information technology & services",'+1 480-336-2644,"Outlook, Woo Commerce, Google Font API, AdRoll, WordPress.org, reCAPTCHA, YouTube, Varnish, Quantcast, Google Tag Manager, Nginx, Mobile Friendly, CallRail, Remote","","","","","","",684ced9fb0feb10001d42bb7,1799,"TurfHub is the nationwide supplier of everything synthetic grass. From state of the art turf to maintenance supplies to must-have accessories, our warehouses are always stocked and ready to ship at a moment's notice. Offering a complete line of residential and commercial turf at the most competitive wholesale pricing, we supply contractors, landscapers and homeowners alike with products that are designed superior in visual aesthetic, tactile experience and overall performance. Nationally, we are renowned for providing products of the highest quality, delivered at expedited rates.",2003,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6732f0cdadae92000139b5c3/picture,"","","","","","","","","",Leased,"",TX,$5.32 (Est.),"20,194",Starting Rent,Feb 2023,2600 NE Loop 820,Lawn And Garden Services - 0782,"","EastGroup Properties, Inc.","","","",24.4%,Feb 2023,"","",Nov 2022,"",Fort Worth,"","",""
Circle-E Facility Services,Circle-E Facility Services,Cold,"Fort Worth Locations, Ultra Enriched Leads, power choosers",24,facilities services,lpatterson@claritypower.org,http://www.circle-e.com,http://www.linkedin.com/company/circle-e.-maintenance,https://www.facebook.com/CircleEmaintenance/,"","","","","","","","electrical, plumbing, hvac, painting, sheet rock, power washing, street sweeping, porter service, remodeling, new construction, welding services, system installation, refrigeration systems, system inspections, preventive system checks, licensed technicians, emergency repair, pole light maintenance, facility repair, refrigeration services, refrigeration repair, electrical repair, property management, industrial maintenance, lighting installation, graffiti removal, security cameras & sensors, preventive maintenance, residential services, electrical wiring, commercial services, groundskeeping, electrical services, plumbing systems, drywall & painting, facility services, commercial hvac, commercial maintenance, waste management, hvac services, pressure washing, plumbing services, groundskeeping services, system repair, hvac repair, welding repair, facilities services, system diagnostics, portering services, hvac systems, 24/7 emergency service, deep cleaning exterior, plumbing repair, handyman services, b2b, services, retail, arts & crafts, art, enterprise software, enterprises, computer software, information technology & services, damage restoration, electricians, home services",'+1 817-355-0044,"Google Tag Manager, WordPress.org, Mobile Friendly, Apache, Google Analytics, Vimeo, Google Font API, Circle, Remote","","","","",10000000,1,684ced9fb0feb10001d42bbe,7349,"Proudly serving the DFW area for over 30 yrs with licensed technicians Electrical, Plumbing, HVAC & Handyman services to commercial, industrial and residential. Restaurant owners, property managers and facility managers take advantage of the one stop shop. Fully staffed journeymen and master tradesmen.  
Call 817-355-0044 or Contact us!

State License #'s
Electrical*TECL19395
Plumbing*M13286
HVAC*TACLA59564C",1969,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68a2164f505552000191dc04/picture,"","","","","","","","","",Leased,"",TX,$7.53 (Est.),"16,541",Starting Rent,Jun 2021,2951 Northern Cross Blvd,"","",GID Investment Advisors LLC,"","","",18.3%,Jun 2021,"","",Jun 2021,"",Fort Worth,"","",""
Taste Of Asia,Taste Of Asia,Cold,"Fort Worth Locations, Ultra Enriched Leads, Out Of Texas Accounts, power choosers",29,food & beverages,lpatterson@claritypower.org,http://www.tasteofasia.biz,http://www.linkedin.com/company/taste-of-asia-restaurant,"","","",Winfield,Kansas,United States,"","Winfield, Kansas, United States","food & beverage services, food & beverages, consumer goods, consumers, asian fusion, chinese, japanese, restaurants, thai",'+1 817-503-1818,"","","","","","",4,684d604c7d7d6c00016b2697,"","Taste Of Asia Restaurant is a Food and Beverages company located in 1801 Main St, Winfield, Kansas, United States.","",https://zenprospect-production.s3.amazonaws.com/uploads/pictures/670e168ab597440001cc5896/picture,"","","","","","","","","",Leased,"",TX,"","2,400","",Jul 2007,7420 N Beach St,Eating Places - 5812,"",MFB Real Estate Services,"","","",8.8%,Jul 2007,"","","","",Fort Worth,"","",""
Fluid Sealing Products Inc,Fluid Sealing Products,Cold,"Ultra Enriched Leads, power choosers",48,oil & energy,lpatterson@claritypower.org,http://www.fluidsealingproducts.com,http://www.linkedin.com/company/fluid-sealing-products,"","",155 Southbelt Industrial Dr,Houston,Texas,United States,77047-7020,"155 Southbelt Industrial Dr, Houston, Texas, United States, 77047-7020","fasteners, fluoroelastomer, sealing technology, api bsl1, gaskets, teflon gaskets, fire-safe gaskets, metal gasket manufacturer, api 6a gaskets, astm a193, industrial equipment & components, ring type joint gaskets, iso-9001, corrosion resistant gaskets, thermal expansion gaskets, industrial sealing applications, custom gasket manufacturing, flange insulation kits, metal gaskets, spiral wound gaskets, material test reports, high temperature gaskets, elastomer gaskets, industrial markets, pipeline products, expansion joints, sealing items, industrial sealing solutions, manufacturing, u bolts, oil & gas equipment & services, heat exchanger gaskets, metallic gasket inventory, pressure testing gaskets, heat exchanger gasket, high torque fasteners, oilfield supplies, stud bolts, certified gasket products, petromec rtj gaskets, api q1, fastener products, coatings, b2b, services, mechanical or industrial engineering",'+1 713-910-1028,"Nginx, YouTube, Google Tag Manager, Mobile Friendly, , Remote","","","","",25458000,"",68523c6ff2f1570001381c97,3492,"FLUID SEALING PRODUCTS is an oil & energy company located at 155 Southbelt Industrial Dr., Houston, TX 77047.","",https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68a737968cbea800013a56c8/picture,"","","","","","","","","",Leased,"",TX,$6.10 (Est.),"43,869",Starting Rent,Feb 2023,4000 Greenbriar Dr,Oil And Gas Field Mach - 3533,"",MoxieBridge,"","","",19.2%,"","","",Nov 2022,"",Stafford,"","",""
MOC Central,MOC Central,Cold,"Ultra Enriched Leads, power choosers",39,automotive,lpatterson@claritypower.org,http://www.moccentralusa.com,http://www.linkedin.com/company/moc-central-llc,https://facebook.com/pages/MOC-Central/113415525401398,https://twitter.com/MOCCentral,"","","","","","","motor vehicle manufacturing, interactive diagrams, fuel systems, service process improvement, adapters and fittings, automotive maintenance, interactive training tools, product integration, market-specific solutions, service process consistency, service advisor training, dealer partnership, automotive service products, service process standardization, service drive, product warranties, dealer support, fluid exchange services, technician training, fluid exchange machines, vehicle efficiency, technician proficiency, automotive parts and equipment manufacturing, preventative service increase, equipment training, service menus, training programs, service training, maintenance equipment, customer-driven solutions, preventative maintenance, maintenance process updates, automotive repair and maintenance, vehicle systems maintenance, professional-use products, long-term vehicle value, training videos, b2b, services, automotive",'+1 800-780-5395,"Rackspace Email, Mobile Friendly, ","","","","",4240000,"",68523f445e595c00013d77f5,5082,"MOC CENTRAL LLC is an automotive company based out of 10630 NEWKIRK STREET SUITE 10, DALLAS, Texas, United States.",2009,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/67133f826577d20001187440/picture,"","","","","","","","","",Leased,"",TX,"","15,375","",Sep 2022,12406 Taylor Rd,"","",Tim D. Phillips,"","","345,562.5",100%,"","","","","",Houston,"","",""
US Valve,US Valve,Cold,"Ultra Enriched Leads, power choosers",21,machinery,lpatterson@claritypower.org,http://www.usvalve.com,http://www.linkedin.com/company/us-valve,"","","","","","","","","valves, lean manufacturing, six sigma, assembly, quality assurance, testing, industrial machinery manufacturing, medical gas valves, firefighting valves, manufacturing locations, low pressure drop, check valves, gasket and seal kits, application engineering support, custom valves, elastomer hinge design, water treatment valves, water & wastewater treatment equipment, material-specific valves, medical equipment & supplies, custom valve manufacturing, industrial valves, pressure relief valves, deep well check valves, certified industrial valves, gasket kits, nsf certified valves, pressure drop reduction, pressure drop optimization, silent check valves, material variety, fast delivery, medical gas check valves, oil & gas valves, full port check valves, manufacturing, quick shipment valves, industrial equipment & components, oil & gas equipment, iso 9001:2015 certified, ansi dual plate wafer check valves, b2b, mechanical or industrial engineering",'+1 201-569-4241,"CloudFlare CDN, Microsoft Office 365, CloudFlare Hosting, Bing Ads, Linkedin Login, Google Tag Manager, Hotjar, Bootstrap Framework, Linkedin Widget, Google Analytics, Remote","","","","",14403000,"",68547edb4ad9870001be327c,3491,"U.S. Valve LLC — The Right Choice

US Valve is a New Jersey Corporation with headquarters in New Jersey and manufacturing locations in Maryland–USA, Europe and Asia.  Our primary focus is check valves and our roots are grounded in low pressure drop designs. Our application engineers can assist you in making the right choice of valve for your application.

Price, Delivery & Service 

We want to be your valve supplier, so we offer Competitive Pricing, Fast Delivery and Outstanding Service. We maintain an extensive inventory of valves, parts and components in a wide variety of materials so we can respond to your needs quickly. Valves are typically assembled and tested within 1 to 2 days after receipt of an order.

We can say with confidence that our customer service is the best in our industry. 

ISO9001:2015 Certified

US Valve is ISO 9001:2015 Certified.
We always keep our certification current. We take our commitment to product quality and documentation seriously. You can rest comfortably knowing that we provide only the best to our customers.

Techno Check Valves

US Valve LLC acquired the Techno product line from Cameron in April of 2016. We are now entirely focused on producing low pressure drop check valves in our Linthicum, Maryland facility. Lead times are now a priority with > 100,000 parts in stock and options for same day shipment of most valves.",1999,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/686f48a130ce180001e7ae35/picture,"","","","","","","","","",Leased,"",TX,"","2,880","",Sep 2022,6529 Cunningham Rd,"","",Catalyst Real Estate,"","","",20%,"","","","","",Houston,"","",""
H G Fire Systems,H G Fire,Cold,"Ultra Enriched Leads, power choosers",24,construction,lpatterson@claritypower.org,http://www.hgfire.com,http://www.linkedin.com/company/h-g-fire-systems,"","",15102 Sommermeyer St,Houston,Texas,United States,77041,"15102 Sommermeyer St, Houston, Texas, United States, 77041","",'+1 713-957-5171,"Outlook, Google Cloud Hosting, Varnish, Wix, Mobile Friendly, Android, Remote","","","","","","",685480546885a600011351b1,"","","",https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,"","","","","","","","","",Leased,"",TX,$5.82 (Est.),"16,200",Starting Rent,Oct 2001,15102 Sommermeyer St,Svc Establishment Equip - 5087,"","Prologis, Inc.","","","",24.5%,"","","",Jun 2001,"",Houston,"","",""
AUSTIN PUMP & SUPPLY CO INC,AUSTIN PUMP & SUPPLY CO,Cold,"Ultra Enriched Leads, Imari, LinkedIn Enriched Ads, power choosers",31,wholesale,lpatterson@claritypower.org,http://www.austinpump.com,http://www.linkedin.com/company/austin-pump-&-supply-co-inc,"","",3803 Todd Ln,Austin,Texas,United States,78744,"3803 Todd Ln, Austin, Texas, United States, 78744","residential pumps, municipal water products, water treatment systems, water well accessories, groundwater industry, water industry associations, water well supplies, groundwater protection, drilling products, water industry, water system products, water resource preservation, wholesale trade of water equipment and supplies, wholesale distribution, pumps, water well equipment, pressure tanks, water system distribution, water treatment products, water and sewer line and related structures construction, water supply and irrigation systems manufacturing, distributor, industrial pumps, texas, b2b",'+1 512-442-2348,"Gmail, Google Apps, Microsoft Office 365, GoDaddy Hosting, Apache, Mobile Friendly, WordPress.org, Remote","","","","",10000000,"",685480546885a600011351cc,5084,"AUSTIN PUMP & SUPPLY CO INC is a company based out of PO BOX 17037, AUSTIN, Texas, United States.",1954,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68a32e317e5f560001a22970/picture,"","","","","","","","","",Leased,"",TX,"","12,000","",Oct 2020,5502 Clara Rd,Industry Mach And Equip - 5084,"",Clay Development & Construction,"","","",100%,"","","","","",Houston,"","",""
Air Expert Air Conditioning,Air Expert Air Conditioning,Cold,"Ultra Enriched Leads, 100, LinkedIn Enriched Ads, power choosers",32,"leisure, travel & tourism",lpatterson@claritypower.org,http://www.airexpert.com,http://www.linkedin.com/company/air-expert,"","",2810 Westminister St,Pearland,Texas,United States,77581-4866,"2810 Westminister St, Pearland, Texas, United States, 77581-4866","travel arrangements, leisure, travel & tourism, heating & air conditioning/hvac, home services",'+1 713-849-4560,"Outlook, Microsoft Office 365, Google Font API, Google Analytics, Mobile Friendly, YouTube, WordPress.org, reCAPTCHA, Google Tag Manager, Remote","","","","",31709000,1,685480546885a600011351e0,6500,Air Expert is engaged in installing and repairing HVAC equipment.,"",https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac09a4ccae0001634980/picture,"","","","","","","","","",Leased,"",TX,"","8,750","",Jul 2009,4922 Steffani,"Plumbing, Heat, Air-Cond - 1711","",Haley Loyd S,"","","",100%,"","","","","",Houston,"","",""
Bombshells,Bombshells,Cold,"Ultra Enriched Leads, power choosers",28,"",lpatterson@claritypower.org,http://www.4bombshells.com,http://www.linkedin.com/company/bombshells,"","","",Austin,Texas,United States,"","Austin, Texas, United States","",'+1 800-555-1212,"Google Font API, Google Analytics, Bing Maps, Bootstrap Framework, Google Tag Manager, ASP.NET, Facebook Login (Connect), reCAPTCHA, Mobile Friendly, Facebook Widget, Facebook Custom Audiences, Microsoft-IIS","","","","","","",6881aded098a7e0001455633,"","","",https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,"","","","","","","","","",Owned,"","","","27,250","",Mar 2019,7501 Stemmons Fwy N,Eating Places - 5812,"","RCI Hospitality Holdings, Inc.","","","",50%,"","","","","",Dallas,"","",""
